# 0.843451
LHPLU	0	1	0	0	5	null	UCVCLVrIVICIV	ITEM/0.854914
K-CUPS	0	0	0	0	6	BLEND	-	DES/0.776624
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.991156
24/EA	0	0	0	0	5	-	$	PRICE/0.556826
$	0	0	0	1	1	24/EA	12.25	DES/0.879759
12.25	1	0	0	1	5	$	.	PRICE/0.951959

# 0.251839
GMT6694	0	0	1	0	7	.	BX	ITEM/0.803310
BX	0	1	0	0	2	GMT6694	COFFEE,	UM/0.800861
COFFEE,	0	0	0	0	7	BX	FRENCH	DES/0.998015
FRENCH	0	1	0	0	6	COFFEE,	ROAST	DES/0.969861
ROAST	0	1	0	0	5	FRENCH	K-CUPS	DES/0.998004
K-CUPS	0	0	0	0	6	ROAST	-	DES/0.876717
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.991156
24/EA	0	0	0	0	5	-	$	PRICE/0.556826
$	0	0	0	1	1	24/EA	12.24	DES/0.879759
12.24	1	0	0	1	5	$	.	PRICE/0.951959

# 0.249942
GMT193019	0	0	1	0	9	.	BX	ITEM/0.758505
BX	0	1	0	0	2	GMT193019	COFFEE,	UM/0.809864
COFFEE,	0	0	0	0	7	BX	ITALIAN	DES/0.997306
ITALIAN	0	1	0	0	7	COFFEE,	ROAST	DES/0.996526
ROAST	0	1	0	0	5	ITALIAN	K-CUPS	DES/0.997164
K-CUPS	0	0	0	0	6	ROAST	-	DES/0.888668
-	0	0	0	0	1	K-CUPS	24/EA	DES/0.990702
24/EA	0	0	0	0	5	-	$	PRICE/0.556826
$	0	0	0	1	1	24/EA	12.24	DES/0.879759
12.24	1	0	0	1	5	$	.	PRICE/0.951959

